concept_id_1,concept_name,parent_omop_id,parent_name,status
31601,Acute laryngotracheitis with obstruction,4249742,Obstruction of trachea,predicted_only
23237,Acute peptic ulcer with hemorrhage AND obstruction,4046500,Acute peptic ulcer with hemorrhage,gs_only
23237,Acute peptic ulcer with hemorrhage AND obstruction,4024846,Acute peptic ulcer with obstruction,gs_only
23237,Acute peptic ulcer with hemorrhage AND obstruction,4273101,Peptic ulcer with hemorrhage AND obstruction,gs_only
23237,Acute peptic ulcer with hemorrhage AND obstruction,4100660,Acute gastrointestinal hemorrhage,predicted_only
23237,Acute peptic ulcer with hemorrhage AND obstruction,26718,Acute peptic ulcer with perforation AND obstruction,predicted_only
23237,Acute peptic ulcer with hemorrhage AND obstruction,4095410,"Peptic ulcer with hemorrhage, with perforation AND with obstruction",predicted_only
23237,Acute peptic ulcer with hemorrhage AND obstruction,37203956,Peptic ulcer with obstruction,predicted_only
27026,Acute peptic ulcer with hemorrhage AND with perforation but without obstruction,4155629,Abdominal cavity injury,gs_only
27026,Acute peptic ulcer with hemorrhage AND with perforation but without obstruction,4006994,Acute peptic ulcer with hemorrhage and perforation,gs_only
27026,Acute peptic ulcer with hemorrhage AND with perforation but without obstruction,31335,Acute peptic ulcer with hemorrhage but without obstruction,gs_only
27026,Acute peptic ulcer with hemorrhage AND with perforation but without obstruction,30439,Acute peptic ulcer with perforation but without obstruction,gs_only
27026,Acute peptic ulcer with hemorrhage AND with perforation but without obstruction,4297887,Disorder of digestive organ,gs_only
27026,Acute peptic ulcer with hemorrhage AND with perforation but without obstruction,4235740,Peptic ulcer with hemorrhage AND with perforation but without obstruction,gs_only
27026,Acute peptic ulcer with hemorrhage AND with perforation but without obstruction,194986,"Acute peptic ulcer with hemorrhage, with perforation AND with obstruction",predicted_only
31335,Acute peptic ulcer with hemorrhage but without obstruction,4046500,Acute peptic ulcer with hemorrhage,gs_only
31335,Acute peptic ulcer with hemorrhage but without obstruction,4169394,Peptic ulcer with hemorrhage but without obstruction,gs_only
31335,Acute peptic ulcer with hemorrhage but without obstruction,4100660,Acute gastrointestinal hemorrhage,predicted_only
31335,Acute peptic ulcer with hemorrhage but without obstruction,4057060,Acute peptic ulcer,predicted_only
31335,Acute peptic ulcer with hemorrhage but without obstruction,436148,Chronic duodenal ulcer with hemorrhage but without obstruction,predicted_only
26718,Acute peptic ulcer with perforation AND obstruction,4024846,Acute peptic ulcer with obstruction,gs_only
26718,Acute peptic ulcer with perforation AND obstruction,4194543,Acute peptic ulcer with perforation,gs_only
26718,Acute peptic ulcer with perforation AND obstruction,4174823,Peptic ulcer with perforation AND obstruction,gs_only
26718,Acute peptic ulcer with perforation AND obstruction,26718,Acute peptic ulcer with perforation AND obstruction,predicted_only
30439,Acute peptic ulcer with perforation but without obstruction,4194543,Acute peptic ulcer with perforation,gs_only
30439,Acute peptic ulcer with perforation but without obstruction,4054392,Peptic ulcer with perforation but without obstruction,gs_only
30439,Acute peptic ulcer with perforation but without obstruction,4100660,Acute gastrointestinal hemorrhage,predicted_only
30439,Acute peptic ulcer with perforation but without obstruction,26718,Acute peptic ulcer with perforation AND obstruction,predicted_only
30439,Acute peptic ulcer with perforation but without obstruction,4149010,Duodenal ulcer with hemorrhage but without obstruction,predicted_only
30439,Acute peptic ulcer with perforation but without obstruction,4129397,Injury of duodenum,predicted_only
30439,Acute peptic ulcer with perforation but without obstruction,4095410,"Peptic ulcer with hemorrhage, with perforation AND with obstruction",predicted_only
25297,Acute pharyngitis,4132552,Acute digestive system disorder,gs_only
25297,Acute pharyngitis,4134294,Acute inflammatory disease,gs_only
25297,Acute pharyngitis,4006969,Acute respiratory disease,gs_only
25297,Acute pharyngitis,4226263,Pharyngitis,gs_only
25297,Acute pharyngitis,25297,Acute pharyngitis,predicted_only
25297,Acute pharyngitis,257011,Acute upper respiratory infection,predicted_only
25297,Acute pharyngitis,4193318,Infective pharyngitis,predicted_only
24660,Acute tonsillitis,25297,Acute pharyngitis,gs_only
24660,Acute tonsillitis,4234533,Tonsillitis,gs_only
24660,Acute tonsillitis,24660,Acute tonsillitis,predicted_only
24660,Acute tonsillitis,45766331,Bacterial tonsillitis,predicted_only
72992,Allergic arthritis,4224260,Allergic disorder by body site affected,gs_only
72992,Allergic arthritis,80488,Arthropathy associated with a hypersensitivity reaction,gs_only
72992,Allergic arthritis,4224742,Non-IgE-mediated allergic disorder,gs_only
72992,Allergic arthritis,72992,Allergic arthritis,predicted_only
72992,Allergic arthritis,4094283,Lower limb joint arthritis,predicted_only
73557,Allergic arthritis of the pelvic region and thigh,72992,Allergic arthritis,gs_only
73557,Allergic arthritis of the pelvic region and thigh,74892,Articular gout,predicted_only
73557,Allergic arthritis of the pelvic region and thigh,4224742,Non-IgE-mediated allergic disorder,predicted_only
73557,Allergic arthritis of the pelvic region and thigh,80495,Palindromic rheumatism of pelvic region and thigh,predicted_only
73241,Anal and rectal polyp,4228686,Anal polyp,gs_only
73241,Anal and rectal polyp,4216644,Rectal polyp,gs_only
73241,Anal and rectal polyp,73241,Anal and rectal polyp,predicted_only
73241,Anal and rectal polyp,4243411,Benign neoplasm of gastrointestinal tract,predicted_only
73241,Anal and rectal polyp,4129882,Neoplasm of anus,predicted_only
74064,Ankylosis of temporomandibular joint,80493,Ankylosis of joint,gs_only
74064,Ankylosis of temporomandibular joint,35624868,Lesion of face,gs_only
74064,Ankylosis of temporomandibular joint,74396,Temporomandibular joint disorder,gs_only
74064,Ankylosis of temporomandibular joint,761755,Ankylosis of left temporomandibular joint,predicted_only
74064,Ankylosis of temporomandibular joint,760903,Right temporomandibular joint disorder,predicted_only
73855,Arrest of bone development AND/OR growth,4160354,Disorder of bone development,gs_only
73855,Arrest of bone development AND/OR growth,764156,Disorder of left lower extremity,predicted_only
73855,Arrest of bone development AND/OR growth,1245241,Epiphyseal arrest of lower leg,predicted_only
73553,Arthropathy,37206233,Disorder of joint region,gs_only
73553,Arthropathy,4339410,Disorder of skeletal system,gs_only
73553,Arthropathy,77960,Joint finding,gs_only
73553,Arthropathy,76777,Arthropathy associated with infection,predicted_only
72989,"Arthropathy associated with mycoses, of the ankle and/or foot",75896,Arthropathy associated with a mycosis,gs_only
72989,"Arthropathy associated with mycoses, of the ankle and/or foot",40482662,Disorder of joint of ankle and/or foot,gs_only
72989,"Arthropathy associated with mycoses, of the ankle and/or foot",72989,"Arthropathy associated with mycoses, of the ankle and/or foot",predicted_only
72989,"Arthropathy associated with mycoses, of the ankle and/or foot",133853,Osteomyelitis of ankle AND/OR foot,predicted_only
72398,Arthropathy in Behcet's syndrome,80494,Arthropathy associated with another disorder,gs_only
72398,Arthropathy in Behcet's syndrome,1245645,Disorder of joint of right shoulder region due to Behcet syndrome,predicted_only
72398,Arthropathy in Behcet's syndrome,4083688,Monosodium urate arthritis and periarthritis,predicted_only
72399,Arthropathy in Behcet's syndrome of multiple sites,72398,Arthropathy in Behcet's syndrome,gs_only
72399,Arthropathy in Behcet's syndrome of multiple sites,80175,"Arthropathy associated with mycoses, of the shoulder region",predicted_only
72399,Arthropathy in Behcet's syndrome of multiple sites,1245645,Disorder of joint of right shoulder region due to Behcet syndrome,predicted_only
72399,Arthropathy in Behcet's syndrome of multiple sites,4265764,Polyarthritis associated with another disorder,predicted_only
72985,Arthropathy of the ankle and/or foot associated with helminthiasis,40482662,Disorder of joint of ankle and/or foot,both
72985,Arthropathy of the ankle and/or foot associated with helminthiasis,4057588,Arthritis associated with another disorder,gs_only
72985,Arthropathy of the ankle and/or foot associated with helminthiasis,76193,Arthropathy associated with helminthiasis,gs_only
72985,Arthropathy of the ankle and/or foot associated with helminthiasis,4094283,Lower limb joint arthritis,gs_only
72985,Arthropathy of the ankle and/or foot associated with helminthiasis,76777,Arthropathy associated with infection,predicted_only
72400,Arthropathy of the pelvic region and thigh associated with helminthiasis,4057588,Arthritis associated with another disorder,gs_only
72400,Arthropathy of the pelvic region and thigh associated with helminthiasis,76193,Arthropathy associated with helminthiasis,gs_only
72400,Arthropathy of the pelvic region and thigh associated with helminthiasis,74892,Articular gout,predicted_only
72400,Arthropathy of the pelvic region and thigh associated with helminthiasis,72993,"Localized, primary osteoarthritis",predicted_only
74120,Arthropathy of the shoulder region associated with helminthiasis,4057588,Arthritis associated with another disorder,both
74120,Arthropathy of the shoulder region associated with helminthiasis,1075361,Arthritis of shoulder region joint,both
74120,Arthropathy of the shoulder region associated with helminthiasis,76193,Arthropathy associated with helminthiasis,gs_only
74120,Arthropathy of the shoulder region associated with helminthiasis,76777,Arthropathy associated with infection,predicted_only
72997,Articular cartilage disorder of upper arm,439103,Articular cartilage disorder,both
72997,Articular cartilage disorder of upper arm,76191,Disorder of upper arm,gs_only
72997,Articular cartilage disorder of upper arm,4323193,Disorder of wrist joint,predicted_only
23806,Atrophy of salivary gland,4179873,Degenerative disorder,gs_only
23806,Atrophy of salivary gland,25572,Disorder of salivary gland,gs_only
23806,Atrophy of salivary gland,23806,Atrophy of salivary gland,predicted_only
23806,Atrophy of salivary gland,139057,Disorder of oral soft tissues,predicted_only
26141,Barrett's esophagus with esophagitis,443344,Barrett's esophagus,gs_only
26141,Barrett's esophagus with esophagitis,30753,Esophagitis,gs_only
762000,Benign hypertensive heart disease and chronic renal disease stage 2,44784621,Hypertensive heart and chronic kidney disease,both
762000,Benign hypertensive heart disease and chronic renal disease stage 2,4263504,Benign hypertensive heart disease,gs_only
762000,Benign hypertensive heart disease and chronic renal disease stage 2,44782692,Chronic kidney disease stage 2 due to hypertension,gs_only
762000,Benign hypertensive heart disease and chronic renal disease stage 2,196991,Chronic renal impairment,predicted_only
28716,Benign neoplasm of aortic body,444463,Benign neoplasm of paraganglion,gs_only
28716,Benign neoplasm of aortic body,4130063,Neoplasm of aortic body,gs_only
28716,Benign neoplasm of aortic body,28716,Benign neoplasm of aortic body,predicted_only
28716,Benign neoplasm of aortic body,442105,Benign neoplasm of soft tissue,predicted_only
28716,Benign neoplasm of aortic body,4130677,Neoplasm of para-aortic body,predicted_only
72576,Benign neoplasm of breast,4113104,Benign neoplasm of thorax,gs_only
72576,Benign neoplasm of breast,81251,Neoplasm of breast,gs_only
72576,Benign neoplasm of breast,72576,Benign neoplasm of breast,predicted_only
72576,Benign neoplasm of breast,4242831,Benign neoplasm of skin of chest,predicted_only
24884,Benign neoplasm of carotid body,4242368,Benign neoplasm of neck,gs_only
24884,Benign neoplasm of carotid body,444463,Benign neoplasm of paraganglion,gs_only
24884,Benign neoplasm of carotid body,4131121,Neoplasm of carotid body,gs_only
24884,Benign neoplasm of carotid body,24884,Benign neoplasm of carotid body,predicted_only
24884,Benign neoplasm of carotid body,442105,Benign neoplasm of soft tissue,predicted_only
24884,Benign neoplasm of carotid body,438990,Benign neuroendocrine tumor,predicted_only
24884,Benign neoplasm of carotid body,4130677,Neoplasm of para-aortic body,predicted_only
73723,Benign neoplasm of epididymis,200670,Benign neoplasm of male genital organ,gs_only
73723,Benign neoplasm of epididymis,4131755,Neoplasm of epididymis,gs_only
73723,Benign neoplasm of epididymis,73723,Benign neoplasm of epididymis,predicted_only
73723,Benign neoplasm of epididymis,317814,Benign neoplasm of heart,predicted_only
73723,Benign neoplasm of epididymis,4054529,Neoplasm of epicardium,predicted_only
24602,Benign neoplasm of esophagus,4243411,Benign neoplasm of gastrointestinal tract,gs_only
24602,Benign neoplasm of esophagus,193431,Benign tumor of digestive organ,gs_only
24602,Benign neoplasm of esophagus,4130990,Neoplasm of esophagus,gs_only
24602,Benign neoplasm of esophagus,24602,Benign neoplasm of esophagus,predicted_only
24602,Benign neoplasm of esophagus,442105,Benign neoplasm of soft tissue,predicted_only
24602,Benign neoplasm of esophagus,4242980,Benign neoplasm of trunk,predicted_only
23731,Benign neoplasm of larynx,4242368,Benign neoplasm of neck,gs_only
23731,Benign neoplasm of larynx,4242982,Benign neoplasm of upper respiratory tract,gs_only
23731,Benign neoplasm of larynx,4055265,Neoplasm of larynx,gs_only
23731,Benign neoplasm of larynx,23731,Benign neoplasm of larynx,predicted_only
23731,Benign neoplasm of larynx,444452,Benign neoplasm of soft tissues of neck,predicted_only
23731,Benign neoplasm of larynx,4055267,Neoplasm of false vocal cord,predicted_only
30679,Benign neoplasm of major salivary gland,4113120,Benign tumor of salivary gland,both
30679,Benign neoplasm of major salivary gland,4054610,Neoplasm of major salivary gland,both
30356,Benign neoplasm of pharynx,4156941,"Benign neoplasm of lip, oral cavity and pharynx",gs_only
30356,Benign neoplasm of pharynx,4242982,Benign neoplasm of upper respiratory tract,gs_only
30356,Benign neoplasm of pharynx,193431,Benign tumor of digestive organ,gs_only
30356,Benign neoplasm of pharynx,4131451,Neoplasm of pharynx,gs_only
30356,Benign neoplasm of pharynx,30356,Benign neoplasm of pharynx,predicted_only
30356,Benign neoplasm of pharynx,444452,Benign neoplasm of soft tissues of neck,predicted_only
30356,Benign neoplasm of pharynx,4055267,Neoplasm of false vocal cord,predicted_only
28115,Benign neoplasm of pineal gland,4173658,Benign cerebral tumor,both
28115,Benign neoplasm of pineal gland,136937,Benign neoplasm of endocrine gland,both
28115,Benign neoplasm of pineal gland,4131120,Neoplasm of pineal gland,both
26060,Benign neoplasm of tonsil,4242988,Benign neoplasm of Waldeyer's ring,gs_only
26060,Benign neoplasm of tonsil,4240017,Benign neoplasm of lateral wall of oropharynx,gs_only
26060,Benign neoplasm of tonsil,4130836,Neoplasm of tonsil,gs_only
26060,Benign neoplasm of tonsil,26060,Benign neoplasm of tonsil,predicted_only
26060,Benign neoplasm of tonsil,4130375,Neoplasm of tongue,predicted_only
73021,Bilateral congenital dislocation of hip,36687058,Arthropathy of bilateral hip joints,gs_only
73021,Bilateral congenital dislocation of hip,35608132,Congenital dislocation of left hip,gs_only
73021,Bilateral congenital dislocation of hip,762233,Congenital dislocation of left hip,gs_only
73021,Bilateral congenital dislocation of hip,765119,Congenital dislocation of right hip,gs_only
73021,Bilateral congenital dislocation of hip,35608133,Congenital dislocation of right hip,gs_only
73021,Bilateral congenital dislocation of hip,73021,Bilateral congenital dislocation of hip,predicted_only
73021,Bilateral congenital dislocation of hip,40323559,Dislocation of knee joint,predicted_only
28779,Bleeding esophageal varices,24966,Esophageal varices,gs_only
28779,Bleeding esophageal varices,37311947,Hemorrhage of digestive system,gs_only
28779,Bleeding esophageal varices,4344497,Soft tissue lesion,gs_only
28779,Bleeding esophageal varices,4124866,Venous hemorrhage,gs_only
28779,Bleeding esophageal varices,28779,Bleeding esophageal varices,predicted_only
26441,Bleeding ulcer of esophagus,23245,Esophageal bleeding,gs_only
26441,Bleeding ulcer of esophagus,4271696,Peptic ulcer with hemorrhage,gs_only
26441,Bleeding ulcer of esophagus,25844,Ulcer of esophagus,gs_only
26441,Bleeding ulcer of esophagus,26441,Bleeding ulcer of esophagus,predicted_only
26441,Bleeding ulcer of esophagus,4341252,Esophageal anastomotic hemorrhage,predicted_only
26441,Bleeding ulcer of esophagus,4027942,Esophagogastric ulcer,predicted_only
26441,Bleeding ulcer of esophagus,4222477,Gastrojejunal ulcer with hemorrhage,predicted_only
26441,Bleeding ulcer of esophagus,4086529,Injury of jejunum,predicted_only
26441,Bleeding ulcer of esophagus,4053830,Injury of stomach,predicted_only
26441,Bleeding ulcer of esophagus,4340118,Rupture of esophagus,predicted_only
72486,Blister of elbow without infection,4267555,Blister of skin without infection,both
72486,Blister of elbow without infection,4271029,Disorder of skin of upper limb,both
72486,Blister of elbow without infection,444189,Injury of elbow,both
72486,Blister of elbow without infection,4344259,Soft tissue lesion of elbow region,both
23567,Branchial cleft cyst,4178668,Branchial cleft anomaly,both
23567,Branchial cleft cyst,4209224,Cyst,both
23567,Branchial cleft cyst,443258,Mass of head and/or neck,both
25068,Branchial cleft sinus and fistula,4100729,Branchial cleft sinus,gs_only
25068,Branchial cleft sinus and fistula,439377,Fistula of branchial cleft,gs_only
25068,Branchial cleft sinus and fistula,25068,Branchial cleft sinus and fistula,predicted_only
25068,Branchial cleft sinus and fistula,443258,Mass of head and/or neck,predicted_only
73019,Breast engorgement in newborn,77030,Disorder of breast,gs_only
73019,Breast engorgement in newborn,4172315,Engorgement of breasts,gs_only
73019,Breast engorgement in newborn,4042220,Neonatal disorder,gs_only
73019,Breast engorgement in newborn,4022933,Breast finding,predicted_only
73019,Breast engorgement in newborn,439156,Finding of neonate,predicted_only
73372,Burn of breast,197163,Burn of trunk,gs_only
73372,Burn of breast,4265765,Injury of breast,gs_only
73372,Burn of breast,4128492,Lesion of breast,gs_only
73372,Burn of breast,73372,Burn of breast,predicted_only
73372,Burn of breast,765718,Lesion of skin of breast,predicted_only
73372,Burn of breast,441171,Second degree burn of chest wall,predicted_only
27438,Burn of esophagus,4155764,Esophageal injury,both
27438,Burn of esophagus,195976,Burn of gastrointestinal tract,gs_only
27438,Burn of esophagus,198030,Burn of internal organ,gs_only
27438,Burn of esophagus,4113545,Lesion of esophagus,gs_only
27438,Burn of esophagus,4053585,Injury of larynx,predicted_only
27438,Burn of esophagus,4115254,Lesion of larynx,predicted_only
72516,Burn of knee,197751,Burn of lower limb,gs_only
72516,Burn of knee,444132,Injury of knee,gs_only
72516,Burn of knee,72516,Burn of knee,predicted_only
72516,Burn of knee,444131,Injury of lower leg,predicted_only
26286,Burn of neck,4293479,Burn of head AND/OR neck,gs_only
26286,Burn of neck,24818,Injury of neck,gs_only
26286,Burn of neck,4185207,Lesion of neck,gs_only
26286,Burn of neck,4266654,Abrasion and/or friction burn of skin,predicted_only
26286,Burn of neck,26286,Burn of neck,predicted_only
26286,Burn of neck,4123196,Burn of skin of body region,predicted_only
26286,Burn of neck,4170635,Superficial injury of neck,predicted_only
73913,Burn of shoulder,73925,Burn of upper limb,gs_only
73913,Burn of shoulder,76611,Injury of shoulder region,gs_only
73913,Burn of shoulder,73913,Burn of shoulder,predicted_only
73913,Burn of shoulder,760749,Injury of right elbow region,predicted_only
73925,Burn of upper limb,442013,Burn,gs_only
73925,Burn of upper limb,4130851,Injury of upper extremity,gs_only
73925,Burn of upper limb,4235162,Deep full thickness burn,predicted_only
73925,Burn of upper limb,75709,Full thickness burn of upper limb,predicted_only
73560,Calcaneal spur,4101635,Finding of bone of foot,gs_only
73560,Calcaneal spur,40481843,Mass of foot,gs_only
73560,Calcaneal spur,4116964,Mass of musculoskeletal structure,gs_only
73560,Calcaneal spur,73560,Calcaneal spur,predicted_only
73560,Calcaneal spur,37109006,Exostosis of right foot,predicted_only
73560,Calcaneal spur,45757591,Osteophyte of bone,predicted_only
29735,Candidiasis of mouth,433968,Candidiasis,gs_only
29735,Candidiasis of mouth,4042502,Disease of mouth,gs_only
29735,Candidiasis of mouth,4207190,Fungal infection by site,gs_only
29735,Candidiasis of mouth,4134887,Infectious disease of digestive tract,gs_only
29735,Candidiasis of mouth,4176944,Infective disorder of head,gs_only
29735,Candidiasis of mouth,29735,Candidiasis of mouth,predicted_only
29735,Candidiasis of mouth,4130007,Nipple infection,predicted_only
29735,Candidiasis of mouth,4170116,Oral infection,predicted_only
28974,Candidiasis of the esophagus,31610,Disorder of esophagus,gs_only
28974,Candidiasis of the esophagus,193133,Gastrointestinal candidiasis,gs_only
28974,Candidiasis of the esophagus,28974,Candidiasis of the esophagus,predicted_only
28109,Carcinoma in situ of esophagus,196064,Carcinoma in situ of digestive organ,gs_only
28109,Carcinoma in situ of esophagus,4244495,Carcinoma in situ of gastrointestinal tract,gs_only
28109,Carcinoma in situ of esophagus,4130990,Neoplasm of esophagus,gs_only
28109,Carcinoma in situ of esophagus,28109,Carcinoma in situ of esophagus,predicted_only
28109,Carcinoma in situ of esophagus,4112605,Carcinoma of upper third of esophagus,predicted_only
28109,Carcinoma in situ of esophagus,4094854,Malignant tumor of cervical part of esophagus,predicted_only
24897,Carcinoma in situ of larynx,4241921,Carcinoma in situ of upper respiratory tract,gs_only
24897,Carcinoma in situ of larynx,4055265,Neoplasm of larynx,gs_only
24897,Carcinoma in situ of larynx,24897,Carcinoma in situ of larynx,predicted_only
24897,Carcinoma in situ of larynx,4241919,Carcinoma in situ of tongue,predicted_only
24897,Carcinoma in situ of larynx,4054514,Neoplasm of nasopharynx,predicted_only
30163,Cellulitis and abscess of neck,4266864,Abscess of neck,gs_only
30163,Cellulitis and abscess of neck,4290877,Cellulitis of neck,gs_only
30163,Cellulitis and abscess of neck,42709830,Cellulitis and abscess of lower limb,predicted_only
30163,Cellulitis and abscess of neck,30163,Cellulitis and abscess of neck,predicted_only
4113790,"Cellulitis of leg, excluding foot",42709838,Cellulitis of lower limb,gs_only
4113790,"Cellulitis of leg, excluding foot",42709839,Cellulitis of lower leg,predicted_only
4113790,"Cellulitis of leg, excluding foot",1245278,Cellulitis of second toe,predicted_only
4113790,"Cellulitis of leg, excluding foot",1245281,Cellulitis of toe of right foot,predicted_only
28248,Cervical auricle,25056,Congenital anomaly of neck,both
28248,Cervical auricle,23567,Branchial cleft cyst,gs_only
28248,Cervical auricle,36716871,Cyst of neck,gs_only
28248,Cervical auricle,764582,Congenital malformation of right external ear,predicted_only
28248,Cervical auricle,378548,Polyotia,predicted_only
72245,Chlamydial infection of lower genitourinary tract,79732,Genitourinary chlamydia infection,gs_only
72245,Chlamydial infection of lower genitourinary tract,4145825,Anorectal disorder,predicted_only
72245,Chlamydial infection of lower genitourinary tract,4200533,Bacterial infection by site,predicted_only
72245,Chlamydial infection of lower genitourinary tract,72245,Chlamydial infection of lower genitourinary tract,predicted_only
23137,Chlamydial pharyngitis,4193874,Bacterial infection of the digestive tract,gs_only
23137,Chlamydial pharyngitis,4207185,Bacterial upper respiratory infection,gs_only
23137,Chlamydial pharyngitis,438066,Chlamydial infection,gs_only
23137,Chlamydial pharyngitis,4193318,Infective pharyngitis,gs_only
23137,Chlamydial pharyngitis,4208665,Bacterial genital infection,predicted_only
23137,Chlamydial pharyngitis,23137,Chlamydial pharyngitis,predicted_only
23137,Chlamydial pharyngitis,4207310,Infective epididymitis,predicted_only
24978,Chronic adenotonsillitis,439851,Chronic adenoiditis,gs_only
24978,Chronic adenotonsillitis,23220,Chronic tonsillitis,gs_only
24978,Chronic adenotonsillitis,432347,Chronic disease of tonsils AND/OR adenoids,predicted_only
24978,Chronic adenotonsillitis,4181188,Inflammatory disorder of immune system,predicted_only
443611,Chronic kidney disease stage 5,46271022,Chronic kidney disease,gs_only
443611,Chronic kidney disease stage 5,196991,Chronic renal impairment,gs_only
443611,Chronic kidney disease stage 5,443614,Chronic kidney disease stage 1,predicted_only
24970,Chronic laryngitis,4063381,Chronic disease of respiratory system,gs_only
24970,Chronic laryngitis,444208,Chronic inflammatory disorder,gs_only
24970,Chronic laryngitis,24969,Laryngitis,gs_only
24970,Chronic laryngitis,4112534,Chronic laryngitis and laryngotracheitis,predicted_only
24970,Chronic laryngitis,46270074,Chronic pharyngolaryngitis,predicted_only
26719,Chronic laryngotracheitis,4112534,Chronic laryngitis and laryngotracheitis,gs_only
26719,Chronic laryngotracheitis,4254103,Chronic tracheitis,gs_only
26719,Chronic laryngotracheitis,26719,Chronic laryngotracheitis,predicted_only
24076,Chronic peptic ulcer with hemorrhage AND obstruction,4174044,Chronic peptic ulcer with hemorrhage,gs_only
24076,Chronic peptic ulcer with hemorrhage AND obstruction,4024849,Chronic peptic ulcer with obstruction,gs_only
24076,Chronic peptic ulcer with hemorrhage AND obstruction,4273101,Peptic ulcer with hemorrhage AND obstruction,gs_only
24076,Chronic peptic ulcer with hemorrhage AND obstruction,4100660,Acute gastrointestinal hemorrhage,predicted_only
24076,Chronic peptic ulcer with hemorrhage AND obstruction,26718,Acute peptic ulcer with perforation AND obstruction,predicted_only
24076,Chronic peptic ulcer with hemorrhage AND obstruction,30442,Chronic peptic ulcer with perforation AND obstruction,predicted_only
24076,Chronic peptic ulcer with hemorrhage AND obstruction,4095410,"Peptic ulcer with hemorrhage, with perforation AND with obstruction",predicted_only
24076,Chronic peptic ulcer with hemorrhage AND obstruction,37203956,Peptic ulcer with obstruction,predicted_only
22665,Chronic peptic ulcer with hemorrhage AND with perforation but without obstruction,4134593,Chronic digestive system disorder,gs_only
22665,Chronic peptic ulcer with hemorrhage AND with perforation but without obstruction,4235740,Peptic ulcer with hemorrhage AND with perforation but without obstruction,gs_only
22665,Chronic peptic ulcer with hemorrhage AND with perforation but without obstruction,24397,"Chronic peptic ulcer with hemorrhage, with perforation AND with obstruction",predicted_only
22665,Chronic peptic ulcer with hemorrhage AND with perforation but without obstruction,4129397,Injury of duodenum,predicted_only
